iter	Passed	Remaining
0	169	168972
1	176	88210
2	178	59465
3	180	44872
4	181	36097
5	182	30279
6	184	26120
7	185	23031
8	187	20616
9	188	18703
10	190	17113
11	192	15822
12	193	14695
13	195	13743
14	196	12903
15	197	12145
16	198	11466
17	199	10869
18	200	10334
19	201	9858
20	202	9420
21	202	9017
22	203	8649
23	204	8316
24	205	8011
25	206	7738
26	208	7498
27	209	7274
28	210	7052
29	211	6849
30	214	6689
31	216	6534
32	217	6381
33	219	6223
34	220	6073
35	221	5931
36	222	5792
37	223	5658
38	224	5531
39	225	5420
40	227	5310
41	227	5200
42	228	5093
43	229	4991
44	230	4896
45	231	4805
46	232	4713
47	233	4628
48	234	4545
49	234	4462
50	235	4384
51	236	4310
52	237	4239
53	238	4169
54	238	4103
55	239	4038
56	240	3973
57	240	3912
58	241	3852
59	242	3797
60	243	3747
61	244	3702
62	245	3654
63	246	3604
64	247	3556
65	247	3508
66	248	3466
67	250	3428
68	251	3388
69	251	3346
70	252	3305
71	253	3265
72	254	3228
73	255	3192
74	255	3157
75	257	3125
76	258	3096
77	259	3064
78	260	3031
79	260	3000
80	261	2970
81	262	2940
82	263	2906
83	263	2875
84	264	2844
85	265	2817
86	266	2791
87	267	2772
88	268	2750
89	269	2724
90	270	2698
91	270	2673
92	271	2647
93	272	2624
94	275	2621
95	277	2610
96	278	2595
97	280	2578
98	281	2560
99	282	2540
100	283	2520
101	283	2499
102	284	2481
103	285	2463
104	287	2447
105	288	2429
106	288	2411
107	289	2392
108	290	2374
109	291	2356
110	292	2338
111	292	2321
112	293	2304
113	295	2297
114	296	2281
115	297	2266
116	298	2249
117	298	2234
118	299	2220
119	300	2204
120	301	2190
121	302	2173
122	302	2158
123	303	2143
124	304	2131
125	305	2119
126	306	2105
127	307	2091
128	307	2078
129	308	2064
130	309	2051
131	310	2039
132	310	2027
133	311	2014
134	313	2010
135	314	1998
136	315	1987
137	316	1977
138	317	1967
139	318	1956
140	319	1946
141	319	1933
142	320	1922
143	321	1911
144	323	1905
145	324	1896
146	324	1885
147	325	1874
148	326	1864
149	327	1853
150	327	1842
151	328	1833
152	329	1824
153	330	1816
154	331	1806
155	332	1797
156	332	1787
157	333	1778
158	334	1768
159	335	1760
160	335	1750
161	336	1741
162	337	1732
163	338	1723
164	338	1714
165	339	1706
166	340	1698
167	341	1690
168	342	1682
169	343	1675
170	344	1667
171	344	1659
172	345	1652
173	346	1644
174	347	1637
175	348	1629
176	348	1622
177	349	1615
178	350	1608
179	351	1601
180	352	1594
181	353	1586
182	353	1580
183	355	1574
184	356	1570
185	357	1563
186	358	1556
187	358	1550
188	359	1542
189	360	1536
190	361	1530
191	362	1524
192	362	1517
193	363	1511
194	365	1507
195	367	1508
196	369	1505
197	370	1499
198	370	1492
199	371	1486
200	372	1480
201	373	1474
202	374	1468
203	374	1462
204	375	1455
205	376	1450
206	377	1444
207	377	1438
208	379	1434
209	380	1430
210	381	1425
211	381	1419
212	382	1413
213	383	1407
214	384	1403
215	385	1398
216	386	1393
217	386	1387
218	387	1381
219	388	1376
220	388	1370
221	389	1365
222	390	1360
223	391	1354
224	392	1350
225	392	1345
226	393	1340
227	394	1336
228	395	1333
229	397	1330
230	398	1327
231	399	1323
232	400	1318
233	401	1314
234	402	1310
235	403	1306
236	404	1302
237	405	1297
238	406	1293
239	406	1288
240	407	1284
241	408	1280
242	409	1276
243	410	1272
244	411	1267
245	412	1263
246	412	1258
247	413	1253
248	414	1248
249	415	1245
250	416	1242
251	417	1239
252	418	1234
253	419	1230
254	419	1226
255	420	1221
256	421	1218
257	422	1215
258	423	1212
259	424	1208
260	425	1204
261	426	1200
262	427	1197
